x	y	type
7	101	1
69	11	2
147	6	2
71	28	2
76	27	2
81	22	2
168	21	2
160	59	2
170	54	2
181	52	2
199	41	2
204	58	2
47	74	2
108	78	2
81	86	2
175	86	2
142	104	2
199	109	2
58	184	2
49	183	2
43	172	2
146	170	2
12	19	3
5	19	3
18	18	3
1	18	3
3	12	3
9	11	3
11	10	3
7	9	3
4	7	3
14	6	3
8	6	3
3	4	3
9	3	3
18	2	3
20	1	3
11	1	3
24	18	3
23	18	3
38	16	3
30	16	3
37	15	3
29	14	3
32	13	3
21	13	3
21	11	3
29	9	3
21	8	3
39	7	3
28	7	3
34	4	3
35	2	3
29	2	3
30	1	3
5	37	3
6	32	3
1	29	3
17	27	3
14	21	3
3	21	3
1	21	3
36	38	3
39	32	3
24	30	3
37	25	3
35	25	3
26	24	3
34	23	3
31	22	3
40	21	3
32	21	3
45	19	3
54	17	3
46	17	3
46	16	3
44	16	3
57	9	3
54	8	3
55	7	3
56	7	3
52	7	3
47	5	3
50	4	3
48	4	3
41	1	3
71	16	3
61	15	3
64	14	3
71	12	3
70	12	3
67	12	3
80	11	3
66	10	3
63	8	3
73	7	3
67	7	3
75	5	3
62	2	3
79	1	3
70	1	3
62	1	3
97	18	3
94	17	3
81	15	3
89	13	3
89	11	3
99	9	3
89	9	3
92	8	3
87	8	3
88	5	3
99	2	3
82	2	3
109	19	3
117	15	3
119	14	3
108	14	3
113	13	3
118	12	3
119	11	3
117	11	3
108	11	3
103	6	3
113	5	3
111	5	3
109	1	3
132	19	3
125	19	3
122	17	3
137	15	3
121	14	3
136	12	3
128	12	3
135	7	3
126	6	3
127	4	3
122	2	3
157	20	3
143	20	3
148	19	3
153	18	3
151	17	3
147	17	3
149	15	3
158	9	3
150	6	3
157	4	3
173	19	3
164	17	3
179	15	3
169	15	3
164	15	3
171	12	3
178	9	3
165	9	3
167	5	3
184	20	3
196	19	3
183	18	3
181	17	3
194	16	3
191	16	3
194	13	3
191	13	3
189	13	3
189	7	3
189	5	3
185	4	3
42	19	3
44	35	3
48	34	3
41	31	3
44	30	3
45	29	3
52	27	3
54	25	3
46	23	3
59	22	3
48	22	3
63	38	3
75	32	3
73	31	3
71	30	3
63	25	3
68	23	3
88	39	3
100	36	3
94	35	3
98	34	3
91	34	3
88	34	3
85	34	3
93	33	3
82	33	3
92	32	3
89	29	3
99	25	3
84	24	3
106	39	3
113	38	3
115	37	3
