"","fecha","año","mes","precio_promedio","int_price","aguascalientes","baja california","baja california sur","chiapas","chihuahua","coahuila","df","durango","guanajuato","guerrero","hidalgo","jalisco","méxico","michoacán","nayarit","nuevo león","oaxaca","puebla","querétaro","san luis potosí","sinaloa","sonora","tabasco","tamaulipas","veracruz","yucatán","zacatecas","lag_3","lag_12","CQGR","CAGR","CQGR_month_mean","CQGR_month_std","IPA_Q"
"1",2001-01-01,2001,1,1.9236,0.92132043,2.1,NA,2.26,1.94,NA,2.16,2.02,2.05,1.91,NA,NA,1.6,2.08,1.65,1.94,1.83333333333333,1.95,2.02,1.7,1.69,2.06,2.04,NA,2,1.78,1.8,1.8,NA,NA,NA,NA,0.00132671990805447,0.0401261491062226,NA
"2",2001-02-01,2001,2,1.89494949494949,0.896335426,2,NA,2.35,1.3,NA,2.1,2,2.05,1.9375,NA,NA,1.6,2,1.7,1.925,1.78125,1.9,1.9,1.75,1.7,1.8,2,NA,2.6,1.8,1.85,1.7875,NA,NA,NA,NA,-0.00820268825065909,0.0466196375409765,NA
"3",2001-03-01,2001,3,1.91535353535354,0.875352382,2,NA,2.2,1.45,NA,2.075,2,2.075,2.225,NA,NA,1.6375,2.025,1.65,1.875,1.75875,1.975,1.85,1.8,1.725,2,2,NA,2,1.8,2,1.8,NA,NA,NA,NA,0.00348484929405409,0.0550603796267313,NA
"4",2001-04-01,2001,4,1.94642105263158,0.81866254,2.2,NA,NA,1.5,NA,2,2,2.05,2.15,NA,NA,1.65,2.025,1.75,1.9,1.78125,2,1.8,1.875,1.715,2,2.4,NA,2,1.8,2,1.8,2.1,NA,0.015627524178943,NA,0.0120647468945262,0.0572198644015576,0.0622646928943044
"5",2001-05-01,2001,5,2.00541666666667,0.778201236,2.2,NA,NA,2.1,NA,2.16,2,2.2,2.25,NA,NA,1.7,2.04,1.75,1.9,1.76,1.9,1.8,1.95,1.7,2.32,2.4,NA,2,1.8,2,1.8,2,NA,0.0322801154563672,NA,0.0238807470364523,0.035299011270761,0.237949112950716
"6",2001-06-01,2001,6,1.99778846153846,0.756398412,1.85,NA,2,2.5,NA,2.025,2,2.15,2.225,NA,NA,1.7125,2,1.75,1.9,1.76625,2,1.8,1.95,1.7975,2.5,2.1875,NA,2,1.8,2.05,1.875,2,NA,-0.0256524198126711,NA,0.007388584733541,0.0260458552103783,-1.26857053758966
"7",2001-07-01,2001,7,1.99059405940594,0.830907,1.875,NA,2,2.5,NA,2.2,2,2.075,2.25,NA,NA,1.7,2,1.75,1.9,1.75625,2,1.8,1.875,2,2,2.1375,NA,2,1.975,2,1.85,2.2,NA,-0.0518882465739168,NA,0.00169345218895055,0.0276915955342893,-1.93494443816065
"8",2001-08-01,2001,8,1.99427480916031,0.847734336,1.9,NA,2,2.5,NA,2.14,2,2,2.28,NA,NA,1.7,2,1.75,2.175,1.765,1.98,1.84,1.84,1.85,2.12,2.1,NA,2,1.9,1.92,1.8,2.2,NA,-0.0476930071863713,NA,-0.00174212100349826,0.0317923105614034,-1.44534591451363
"9",2001-09-01,2001,9,1.99481132075472,0.842129134,1.85,NA,2,2.5,NA,2.05,2,2.05,1.975,NA,NA,1.7,2,1.75,1.86,1.71875,2.08,1.85,1.9,1.75,3.375,2.1,NA,2,1.9,2,1.825,1.85,NA,0,NA,0.00382763206972276,0.0208441015749949,-0.183631424743894
"10",2001-10-01,2001,10,1.99558139534884,0.808220495,1.81,NA,2.33333333333333,2.5,NA,2.16,2.2,2.12,2.12,NA,NA,1.84,2.1,1.748,1.85,1.948,1.975,1.84,1.9,1.772,2,2.1,NA,2,1.94,2,1.8,1.875,NA,-0.0116917191131447,NA,0.00617660559246661,0.0214478643378942,-0.833105078627407
"11",2001-11-01,2001,11,2.036,0.828900324,1.8375,NA,2.5,2.5,NA,2.2,2.15,2,2.125,NA,NA,1.75,1.96666666666667,1.75,2.23636363636364,1.87375,2.075,1.9625,1.8875,1.78,2,2.0625,NA,2,1.95,2,1.8,1.9,NA,-0.011087388131422,NA,0.0101839570482462,0.0180027456836542,-1.18156116591603
"12",2001-12-01,2001,12,1.9680412371134,0.846224232,1.8,NA,2.5,2.5,NA,2,2.15,1.975,2.1875,NA,NA,1.7,1.925,1.7125,1.81818181818182,1.83125,2.225,2,1.75,1.7,2,2.1,NA,2,1.8,1.9,1.8,1.85,NA,-0.00909141230688548,NA,0.00737091258552685,0.0275006382654022,-0.598616102416908
"13",2002-01-01,2002,1,1.99484126984127,0.842573958,1.8,NA,2.26,2.5,NA,2.05,2.04,2,2.33,NA,NA,1.78,1.96,1.73,1.83333333333333,1.825,2,1.94,1.68,1.6625,2.04,2.51,NA,2,1.8,1.8,1.875,1.81,2.1,-0.00184502264114494,-0.01276373370728,0.00132671990805447,0.0401261491062226,-0.0790442795993984
"14",2002-02-01,2002,2,1.97376237623762,0.826205526,1.7625,NA,2.3,2.5,NA,2.05,2,2.1,2.125,NA,NA,1.8,1.95,1.7125,1.775,1.85625,2,1.7875,1.75,1.6125,2,2.5,NA,2,1.875,1.8,1.86666666666667,1.8375,2,-0.0137948654429203,-0.0104792002919649,-0.00820268825065909,0.0466196375409765,-0.119953253333339
"15",2002-03-01,2002,3,1.96636363636364,0.816009674,1.75,NA,2.2,2,NA,2,2,2,2.05,NA,NA,1.8,1.925,1.7425,1.775,1.73571428571429,2.025,1.8,1.8,1.65,2.5,2.5,NA,2.45,2,1.8,1.825,1.8,2,-0.00934634120614508,-0.0110659331391373,0.00348484929405409,0.0550603796267313,-0.23303854036578
"16",2002-04-01,2002,4,1.971875,0.795462387,1.9,NA,2.2,2,NA,2,2,2.08,2.02,NA,NA,1.8,1.99,1.69,1.72222222222222,1.775,2.1,1.8,1.775,1.65,2.5,2.5,NA,2,2,1.8,1.84,1.8,2.2,0.0181857907149343,-0.0121426321525038,0.0120647468945262,0.0572198644015576,0.106974105661135
"17",2002-05-01,2002,5,1.98392523364486,0.857222667,2.25,NA,2.2,1.95,NA,2,2,2.1,2.0875,NA,NA,1.8,1.95,1.6,1.825,1.86875,2.1,1.8,1.75,1.6825,2.425,2.35,NA,2,1.9,1.8,1.875,1.7625,2.2,0.0848036326035437,0.00187449265663098,0.0238807470364523,0.035299011270761,1.72590912249022
"18",2002-06-01,2002,6,1.98603773584906,0.907270826,2,NA,2.275,1.975,NA,2,2,2.15,2.15,NA,2,1.725,1.9125,1.675,1.8,1.825,2.075,1.8,1.75,1.6675,2.5,2.3,NA,2,1.9,2.05,1.8,1.75,1.85,0.0455159171494204,0.00651794507339898,0.007388584733541,0.0260458552103783,1.46385411835842
"19",2002-07-01,2002,7,2.01619402985075,0.97684066,1.98,NA,2.5,2.5,NA,2.04,2,2.08,1.95333333333333,NA,1.97,1.76,1.9,1.71,1.77,1.855,2.09090909090909,1.88,1.93,1.618,2.5,2.46666666666667,NA,2,1.9,1.96,NA,1.9,1.875,0.0138425863628839,0.00455100662487395,0.00169345218895055,0.0276915955342893,0.438730016798405
"20",2002-08-01,2002,8,2.02618181818182,1.079757162,1.9,NA,2.5,2.25,NA,2,2,2.1,2.0125,NA,2,1.85,1.9625,1.75,1.775,1.89125,2.18,1.85,1.95,1.6,2.5,2.3375,NA,2,1.925,2.1,NA,2.25,1.9,-0.0548000406548725,0,-0.00174212100349826,0.0317923105614034,-1.66889158775984
"21",2002-09-01,2002,9,2.04641509433962,1.14424245,1.9,NA,2.5,2,NA,2.075,2.075,2.15,2.1875,NA,2,1.8,1.9625,1.725,1.825,1.96,2.425,1.9375,1.96666666666667,1.728,2,2.2625,NA,2,2,2.2,NA,2,1.85,-0.0169524275084415,0.00222482518232558,0.00382763206972276,0.0208441015749949,-0.996927572215084
"22",2002-10-01,2002,10,2.09888888888889,1.107037365,1.9,NA,2.5,2,NA,2,2.2,2.18,2.15,NA,2.04,1.9,2,1.83,1.84,1.99,2.50769230769231,2,2,1.72,2.08,2.37,NA,2,2.03333333333333,2.35,NA,1.98,1.81,-0.0136535854274417,0.00405210775239095,0.00617660559246661,0.0214478643378942,-0.924576484982338
