cve_central,busqueda,lon,lat
1, Centro Comercial Agropecuario de Aguascalientes Aguascalientes,-102.2955713,21.9135342
2, Central de Abasto de Tuxtla Gutiérrez Chiapas,-93.0673242,16.743179
3, Centro de Distribución y Abasto de Gómez Palacio Durango,-103.4746299,25.5618351
4, Central de Abasto de León Guanajuato,-101.6862959,21.0734267
5,Mercado de Abastos Jalisco,-103.3832332,20.6528334
6, Central de Abasto de Toluca México,-99.605071,19.346214
7, Central de Abasto de Ecatepec México,-99.0040454,19.6176902
8,Mercado de Abastos Michoacán,-101.3433542,19.6846274
9,Mercado de Abastos Nayarit,-104.8993988,21.5222153
10,Mercado de Abastos Oaxaca,-96.7343562,17.0596938
11, Central de Abasto de Iztapalapa DF Distrito Federal,-99.0908182,19.3814252
12," Central de Abasto de La Laguna, Torreón Coahuila",-103.4256206,25.5540256
13,Mercado de Abastos Guanajuato,-101.685135,21.073656
14, Central de Abasto de Culiacán Sinaloa,-107.3645514,24.7711388
15,Mercado de Abastos Querétaro,-100.374371,20.5691835
16,Mercado de Abastos Sonora,-109.9184251,27.470847
17,Mercado de Abastos Tamaulipas,-98.3153223,26.0428201
18,Mercado de Abastos Nuevo León,-100.2649198,25.6661056
19," Central de Abasto de Guadalupe, Nvo. León Nuevo León",-100.2649198,25.6661056
20, Centro de Abasto de San Luis Potosí San Luis Potosí,-100.9139585,22.1358682
21, Central de Abasto de Puebla Puebla,-98.18917809999999,19.0868269
22,Mercado de Abastos Yucatán,-89.664351,20.9860427
23,Mercado de Abastos Zacatecas,-102.5956736,22.7721098
24,Mercado de Abastos Veracruz,-96.1369955,19.1935169
25,Calzada General Agustin Olachea Avilés Km 3.5 Baja California Sur,-110.3269234,24.1298192
26, Nayarabastos de Tepic Nayarit,-104.8578665,21.4761431
27, Central de Abasto de Pachuca Hidalgo,-98.75293529999999,20.1050592
28, Central de Abasto de Chihuahua Chihuahua,-106.013361,28.6467576
29," Central de Abasto ""Francisco Villa"" Durango",-104.6301412,24.0383611
30, Central de Abasto de Villahermosa Tabasco,-92.966045,17.991716
31," Central de Abasto INDIA, Tijuana Baja California",-116.9469092,32.4949586
32, Central de Abasto de Aguascalientes Aguascalientes,-102.2895078,21.8315042
33,Mercado de Abastos Baja California,-116.9469092,32.4949586
34, Centros de distribución de Colima Colima,-103.7024034,19.237754
35,Mercado de Abastos Campeche,-90.545377,19.8399519
36, Central de Abastos de Acapulco Guerrero,-99.82654079999999,16.9079148
