fecha,origen,destino,precio_min,precio_max,precio_frec,obs,anio,mes,semana
05/01/2000,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,1.8,1.8,1.8,NA,2000,1,1
05/01/2000,Chiapas,Chiapas: Central de Abasto de Tuxtla Gutiérrez,1.7,1.7,1.7,NA,2000,1,1
05/01/2000,Chihuahua,Durango: Centro de Distribución y Abasto de Gómez Palacio,2.4,2.4,2.4,NA,2000,1,1
05/01/2000,Guanajuato,Guanajuato: Central de Abasto de León,1.8,1.8,1.8,NA,2000,1,1
05/01/2000,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,1.6,1.6,1.6,NA,2000,1,1
05/01/2000,México,México: Central de Abasto de Toluca,2.2,2.2,2.2,NA,2000,1,1
05/01/2000,México,México: Central de Abasto de Ecatepec,2.2,2.2,2.2,NA,2000,1,1
05/01/2000,Michoacán,Michoacán: Mercado de Abasto de Morelia,1.7,1.7,1.7,NA,2000,1,1
05/01/2000,Nayarit,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,1.8,1.8,1.8,NA,2000,1,1
05/01/2000,Oaxaca,Oaxaca: Módulo de Abasto de Oaxaca,1.9,1.9,1.9,NA,2000,1,1
05/01/2000,Puebla,DF: Central de Abasto de Iztapalapa DF,2.1,2.1,2.1,NA,2000,1,1
05/01/2000,Sinaloa,"Coahuila: Central de Abasto de La Laguna, Torreón",1.8,1.8,1.8,NA,2000,1,1
05/01/2000,Sinaloa,Guanajuato: Módulo de Abasto Irapuato,2.2,2.2,2.2,NA,2000,1,1
05/01/2000,Sinaloa,Sinaloa: Central de Abasto de Culiacán,2,2,2,NA,2000,1,1
05/01/2000,Sinaloa,Querétaro: Mercado de Abasto de Querétaro,1.8,1.8,1.8,NA,2000,1,1
05/01/2000,Sonora,"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",2.2,2.2,2.2,NA,2000,1,1
05/01/2000,Sonora,"Sonora: Mercado de Abasto ""Olímpico"" de Hermosillo",2.2,2.2,2.2,NA,2000,1,1
05/01/2000,Tamaulipas,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",2,2,2,NA,2000,1,1
05/01/2000,Tamaulipas,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",1.8,1.8,1.8,NA,2000,1,1
05/01/2000,Tamaulipas,"Nuevo León: Central de Abasto de Guadalupe, Nvo. León",2,2,2,NA,2000,1,1
05/01/2000,Tamaulipas,San Luis Potosí: Centro de Abasto de San Luis Potosí,1.6,1.6,1.6,NA,2000,1,1
05/01/2000,Veracruz,Puebla: Central de Abasto de Puebla,2.1,2.1,2.1,NA,2000,1,1
05/01/2000,Yucatán,Yucatán: Central de Abasto de Mérida,1.8,1.8,1.8,NA,2000,1,1
05/01/2000,Zacatecas,Zacatecas: Mercado de Abasto de Zacatecas,1.8,1.8,1.8,NA,2000,1,1
03/01/2001,Aguascalientes,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,2.5,2.7,2.6,NA,2001,1,1
03/01/2001,Chiapas,Chiapas: Central de Abasto de Tuxtla Gutiérrez,2.4,2.6,2.5,NA,2001,1,1
03/01/2001,Chihuahua,"Coahuila: Central de Abasto de La Laguna, Torreón",2,2.3,2.2,NA,2001,1,1
03/01/2001,Distrito Federal,Veracruz: Otros Centros Mayoristas de Xalapa,1.8,1.8,1.8,NA,2001,1,1
03/01/2001,Guanajuato,Querétaro: Mercado de Abasto de Querétaro,1.7,1.8,1.7,NA,2001,1,1
03/01/2001,Jalisco,San Luis Potosí: Centro de Abasto de San Luis Potosí,1.65,1.65,1.65,NA,2001,1,1
03/01/2001,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,2.2,3,2.2,NA,2001,1,1
03/01/2001,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,1.6,1.7,1.6,NA,2001,1,1
03/01/2001,México,México: Central de Abasto de Ecatepec,2.1,2.2,2.1,NA,2001,1,1
03/01/2001,México,DF: Central de Abasto de Iztapalapa DF,2.1,2.2,2.1,NA,2001,1,1
03/01/2001,Michoacán,Michoacán: Mercado de Abasto de Morelia,1.7,1.8,1.8,NA,2001,1,1
03/01/2001,Nayarit,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,1.9,2,2,NA,2001,1,1
03/01/2001,Oaxaca,Oaxaca: Módulo de Abasto de Oaxaca,1.9,2,1.9,NA,2001,1,1
03/01/2001,Puebla,Puebla: Central de Abasto de Puebla,2.2,2.2,2.2,NA,2001,1,1
03/01/2001,Sinaloa,Sinaloa: Central de Abasto de Culiacán,2,2,2,NA,2001,1,1
03/01/2001,Sinaloa,Guanajuato: Central de Abasto de León,1.8,1.9,1.9,NA,2001,1,1
03/01/2001,Sinaloa,Guanajuato: Módulo de Abasto Irapuato,2,2,2,NA,2001,1,1
03/01/2001,Sonora,"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",2.2,2.2,2.2,NA,2001,1,1
03/01/2001,Sonora,"Sonora: Mercado de Abasto ""Olímpico"" de Hermosillo",2,2,2,NA,2001,1,1
03/01/2001,Tamaulipas,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",2,2.5,2,NA,2001,1,1
03/01/2001,Tamaulipas,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",2,2,2,NA,2001,1,1
03/01/2001,Tamaulipas,"Nuevo León: Central de Abasto de Guadalupe, Nvo. León",1.75,2,2,NA,2001,1,1
03/01/2001,Yucatán,Yucatán: Central de Abasto de Mérida,1.8,2,2,NA,2001,1,1
03/01/2001,Zacatecas,Zacatecas: Mercado de Abasto de Zacatecas,1.8,1.8,1.8,NA,2001,1,1
02/01/2002,Chihuahua,Durango: Centro de Distribución y Abasto de Gómez Palacio,2,2.2,2.1,NA,2002,1,1
02/01/2002,Distrito Federal,Veracruz: Otros Centros Mayoristas de Xalapa,1.8,1.8,1.8,NA,2002,1,1
02/01/2002,Guanajuato,Guanajuato: Central de Abasto de León,1.8,1.8,1.8,NA,2002,1,1
02/01/2002,Guanajuato,Guanajuato: Módulo de Abasto Irapuato,2.5,2.7,2.5,NA,2002,1,1
02/01/2002,Hidalgo,México: Central de Abasto de Ecatepec,1.9,2.2,2,NA,2002,1,1
02/01/2002,Jalisco,Baja California Sur: Unión de Comerciantes de La Paz,2.5,2.5,2.5,NA,2002,1,1
02/01/2002,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,1.7,1.7,1.7,NA,2002,1,1
02/01/2002,Jalisco,Nayarit: Nayarabastos de Tepic,1.8,2.2,1.8,NA,2002,1,1
02/01/2002,Jalisco,Sinaloa: Central de Abasto de Culiacán,2.2,2.2,2.2,NA,2002,1,1
02/01/2002,México,DF: Central de Abasto de Iztapalapa DF,2.1,2.3,2.2,NA,2002,1,1
02/01/2002,Michoacán,Michoacán: Mercado de Abasto de Morelia,1.7,1.8,1.75,NA,2002,1,1
02/01/2002,Nayarit,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,1.9,2,2,NA,2002,1,1
02/01/2002,Nayarit,Nayarit: Nayarabastos de Tepic,1.8,2.2,1.8,NA,2002,1,1
02/01/2002,Oaxaca,Oaxaca: Módulo de Abasto de Oaxaca,2,2.8,2,NA,2002,1,1
02/01/2002,Puebla,Puebla: Central de Abasto de Puebla,2,2,2,NA,2002,1,1
02/01/2002,Sinaloa,Querétaro: Mercado de Abasto de Querétaro,1.7,1.8,1.8,NA,2002,1,1
02/01/2002,Sonora,"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",2.4,2.6,2.6,NA,2002,1,1
02/01/2002,Sonora,"Sonora: Mercado de Abasto ""Olímpico"" de Hermosillo",2.6,2.6,2.6,NA,2002,1,1
02/01/2002,Tamaulipas,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",1.8,2.2,2,NA,2002,1,1
02/01/2002,Tamaulipas,"Nuevo León: Central de Abasto de Guadalupe, Nvo. León",1.9,2,2,NA,2002,1,1
