,"fecha","CVE_ENT","maiz_blanco","maiz_blanco_anom_3","maiz_blanco_anom_6"
"1","2001-01-01","01",2.5,0.5539873045,0.0526402156
"2","2001-01-01","07",2.4,0.9886245031,0.8180039123
"3","2001-01-01","05",2,0.2658678848,0.0817158141
"4","2001-01-01","30",1.8,0.7751222561,0.0358766719
"5","2001-01-01","22",1.7,0.4485831661,0.6365553617
"6","2001-01-01","24",1.65,0.7036214922,0.6640505775
"7","2001-01-01","14",1.6,0.8274224887,0.2913460502
"8","2001-01-01","03",2.2,0.2329324935,0.6245686945
"9","2001-01-01","15",2.1,0.3351601538,0.1028951984
"10","2001-01-01","09",2.1,0.7989587332,0.6516781618
"11","2001-01-01","16",1.7,0.3192901779,0.06160566
"12","2001-01-01","18",1.9,0.0259070978,0.8784242262
"13","2001-01-01","20",1.9,0.872588178,0.5917173503
"14","2001-01-01","21",2.2,0.5730816378,0.6278853458
"15","2001-01-01","25",2,0.7289680141,0.653764931
"16","2001-01-01","11",1.8,0.824682769,0.4078038774
"17","2001-01-01","11",2,0.175021549,0.0491688316
"18","2001-01-01","26",2.2,0.1385504343,0.7132842703
"19","2001-01-01","26",2,0.1298216755,0.4287595505
"20","2001-01-01","19",2,0.4951818161,0.5960658226
"21","2001-01-01","19",1.75,0.0817907906,0.4287784115
"22","2001-01-01","28",2,0.2411129203,0.1263888558
"23","2001-01-01","31",1.8,0.7001334554,0.6305394474
"24","2001-01-01","32",1.8,0.9239296687,0.5364603699
"25","2001-01-01","19",1.85,0.0391938523,0.7428587257
"26","2001-01-01","19",1.75,0.9491390982,0.935818511
"27","2001-01-01","01",2,0.927664135,0.945008986
"28","2001-01-01","10",2,0.8199236012,0.1076296347
"29","2001-01-01","07",2.4,0.4253471651,0.7246149555
"30","2001-01-01","05",2.2,0.6709533337,0.528498612
"31","2001-01-01","30",1.7,0.3946888173,0.1127340645
"32","2001-01-01","22",1.65,0.6130055219,0.601796951
"33","2001-01-01","24",1.7,0.5342508309,0.6583119071
"34","2001-01-01","03",2.2,0.2449524423,0.9329686267
"35","2001-01-01","14",1.6,0.0555989943,0.8705714068
"36","2001-01-01","15",2.1,0.6774251337,0.2517276063
"37","2001-01-01","09",2,0.0064425137,0.1203815043
"38","2001-01-01","16",1.65,0.4636433945,0.9351025705
"39","2001-01-01","18",1.9,0.2222546346,0.6501952199
"40","2001-01-01","20",1.9,0.3964899016,0.4865238594
"41","2001-01-01","21",2,0.8501865248,0.4530805479
"42","2001-01-01","11",1.8,0.8220414193,0.6387668946
"43","2001-01-01","11",1.8,0.1094887912,0.4685044923
"44","2001-01-01","25",2,0.4859564493,0.9487625435
"45","2001-01-01","26",2.2,0.1566992026,0.1916136299
"46","2001-01-01","26",2,0.2809476992,0.2370984925
"47","2001-01-01","28",2,0.7939450275,0.4774932031
"48","2001-01-01","19",1.85,0.8178259997,0.2532867594
"49","2001-01-01","19",1.65,0.4987747969,0.8838228474
