destino,origen,precio,anio,mes
Ags: C.C.Agrop.Aguascalientes,Aguascalientes,1.80,2000,1
"BC: M.A. ""Nuevo Estado 29"" Mexicali",Jalisco,12.00,2000,1
Camp: M. Pedro Sáinz de Baranda,Yucatán,5.17,2000,1
"Coah: C.A. La Laguna, Torreón",Sinaloa,1.85,2000,1
Col: C.Distr. Colima,Jalisco,4.98,2000,1
Chis: C.A. Tuxtla Gutiérrez,Chiapas,1.70,2000,1
DF: C.A. Iztapalapa,México,2.00,2000,1
DF: C.A. Iztapalapa,Puebla,2.10,2000,1
Dgo: C. Distr.y A. Gómez Palacio,Chihuahua,2.13,2000,1
Dgo: C. Distr.y A. Gómez Palacio,Sinaloa,2.00,2000,1
Gto: C.A. León,Guanajuato,1.80,2000,1
Gto: Mod.A. Irapuato,Sinaloa,2.08,2000,1
Jal: M.A. Guadalajara,Jalisco,1.63,2000,1
Mex: C.A. Ecatepec,México,2.15,2000,1
Mex: C.A. Toluca,México,2.20,2000,1
Mich: M.A. Morelia,Michoacán,1.70,2000,1
"Nay: M.A. 'A.López Mateos', Tepic",Nayarit,1.80,2000,1
NL: C.A. Guadalupe,Tamaulipas,2.00,2000,1
"NL: M.A. Estrella, S.N.de los Garza",Tamaulipas,1.87,2000,1
Oax: Mod.A. Oaxaca,Oaxaca,1.90,2000,1
Pue: C.A. Puebla,Veracruz,2.10,2000,1
Qro: M.A. Querétaro,Guanajuato,1.85,2000,1
Qro: M.A. Querétaro,Sinaloa,1.80,2000,1
SLP: C.A. San Luis Potosí,Guanajuato,1.65,2000,1
SLP: C.A. San Luis Potosí,San Luis Potosí,1.60,2000,1
SLP: C.A. San Luis Potosí,Tamaulipas,1.63,2000,1
Sin: C.A. Culiacán,Sinaloa,2.00,2000,1
"Son: M.A.Fco.I. Madero, Hermosillo",Sonora,2.20,2000,1
"Son: M.A. ""Olímpico"", Hermosillo",Sonora,2.20,2000,1
Tamps: Mod.A. T. Mad.y Altamira,Nuevo León,2.00,2000,1
Tamps: Mod.A. T. Mad.y Altamira,Tamaulipas,2.00,2000,1
Yuc: C.A. Mérida,Yucatán,1.80,2000,1
Zac: M.A. Zacatecas,Zacatecas,1.80,2000,1
Ags: C.C.Agrop.Aguascalientes,Aguascalientes,2.28,2001,1
BCS: U.Com. La Paz,Jalisco,2.36,2001,1
"Coah: C.A. La Laguna, Torreón",Chihuahua,2.26,2001,1
Chis: C.A. Tuxtla Gutiérrez,Chiapas,2.02,2001,1
DF: C.A. Iztapalapa,México,2.02,2001,1
Dgo: C. Distr.y A. Gómez Palacio,Coahuila,2.23,2001,1
Gto: C.A. León,Sinaloa,1.96,2001,1
Gto: Mod.A. Irapuato,Sinaloa,2.00,2001,1
Jal: M.A. Guadalajara,Jalisco,1.68,2001,1
Mex: C.A. Ecatepec,México,2.10,2001,1
Mich: M.A. Morelia,Michoacán,1.72,2001,1
"Nay: M.A. 'A.López Mateos', Tepic",Nayarit,1.98,2001,1
NL: C.A. Guadalupe,Tamaulipas,1.88,2001,1
"NL: M.A. Estrella, S.N.de los Garza",Tamaulipas,1.99,2001,1
Oax: Mod.A. Oaxaca,Oaxaca,1.97,2001,1
Pue: C.A. Puebla,Puebla,2.02,2001,1
Qro: M.A. Querétaro,Guanajuato,1.78,2001,1
SLP: C.A. San Luis Potosí,Guanajuato,1.70,2001,1
SLP: C.A. San Luis Potosí,Jalisco,1.65,2001,1
Sin: C.A. Culiacán,Sinaloa,2.10,2001,1
"Son: M.A.Fco.I. Madero, Hermosillo",Sonora,2.08,2001,1
"Son: M.A. ""Olímpico"", Hermosillo",Sonora,2.00,2001,1
Tamps: Mod.A. T. Mad.y Altamira,Tamaulipas,2.00,2001,1
Ver: Otros C.May. Xalapa,Distrito Federal,1.78,2001,1
Yuc: C.A. Mérida,Yucatán,1.96,2001,1
Zac: M.A. Zacatecas,Zacatecas,1.80,2001,1
Ags: C.C.Agrop.Aguascalientes,Aguascalientes,2.10,2002,1
BCS: U.Com. La Paz,Jalisco,2.26,2002,1
"Coah: C.A. La Laguna, Torreón",Chihuahua,2.10,2002,1
Chis: C.A. Tuxtla Gutiérrez,Chiapas,2.50,2002,1
DF: C.A. Iztapalapa,México,2.18,2002,1
Dgo: C. Distr.y A. Gómez Palacio,Chihuahua,2.10,2002,1
Gto: C.A. León,Guanajuato,2.08,2002,1
Gto: Mod.A. Irapuato,Guanajuato,2.66,2002,1
Jal: M.A. Guadalajara,Jalisco,1.78,2002,1
Mex: C.A. Ecatepec,Hidalgo,2.15,2002,1
Mex: C.A. Ecatepec,Jalisco,2.00,2002,1
Mich: M.A. Morelia,Michoacán,1.79,2002,1
"Nay: M.A. 'A.López Mateos', Tepic",Nayarit,1.96,2002,1
"Nay: Nayarabastos, Tepic",Jalisco,1.90,2002,1
"Nay: Nayarabastos, Tepic",Nayarit,1.84,2002,1
NL: C.A. Guadalupe,Tamaulipas,2.00,2002,1
"NL: M.A. Estrella, S.N.de los Garza",Tamaulipas,2.04,2002,1
Oax: Mod.A. Oaxaca,Chiapas,2.13,2002,1
Oax: Mod.A. Oaxaca,Oaxaca,2.00,2002,1
Pue: C.A. Puebla,Puebla,1.94,2002,1
Qro: M.A. Querétaro,Jalisco,1.90,2002,1
Qro: M.A. Querétaro,Sinaloa,1.83,2002,1
SLP: C.A. San Luis Potosí,Jalisco,1.66,2002,1
Sin: C.A. Culiacán,Jalisco,2.04,2002,1
"Son: M.A.Fco.I. Madero, Hermosillo",Sonora,2.60,2002,1
"Son: M.A. ""Olímpico"", Hermosillo",Sonora,2.62,2002,1
Tamps: Mod.A. T. Mad.y Altamira,Veracruz,2.00,2002,1
Ver: Otros C.May. Xalapa,Distrito Federal,1.80,2002,1
Yuc: C.A. Mérida,Yucatán,1.86,2002,1
Zac: M.A. Zacatecas,Zacatecas,1.93,2002,1
Ags: C.C.Agrop.Aguascalientes,Aguascalientes,1.90,2003,1
BCS: U.Com. La Paz,Jalisco,2.28,2003,1
"Coah: C.A. La Laguna, Torreón",Chihuahua,2.30,2003,1
Chis: C.A. Tuxtla Gutiérrez,Chiapas,2.50,2003,1
DF: C.A. Iztapalapa,México,2.20,2003,1
Dgo: C. Distr.y A. Gómez Palacio,Chihuahua,2.34,2003,1
Gto: C.A. León,Guanajuato,1.94,2003,1
Gto: Mod.A. Irapuato,Guanajuato,2.40,2003,1
Hgo: C.A. Pachuca,Distrito Federal,2.06,2003,1
Jal: M.A. Guadalajara,Jalisco,1.82,2003,1
Mex: C.A. Ecatepec,México,2.14,2003,1
Mich: M.A. Morelia,Michoacán,1.92,2003,1
"Nay: M.A. 'A.López Mateos', Tepic",Nayarit,2.00,2003,1
"Nay: Nayarabastos, Tepic",Jalisco,1.93,2003,1
NL: C.A. Guadalupe,Tamaulipas,2.29,2003,1
"NL: M.A. Estrella, S.N.de los Garza",Tamaulipas,2.10,2003,1
"NL: M.A. Estrella, S.N.de los Garza",Importación,2.20,2003,1
